symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
BXMT,True,-2.0688,1.3765,35.35,401557
CMO,False,-3.7199,1.3447,8.19,449738
CRR,False,-12.1951,13.2813,1.38,101934
CAH,True,-5.7739,2.6667,44.67,1385758
CRCM,False,-24.364,7.6326,9.33,266688
CPRI,True,-5.1698,3.0706,30.35,1382754
KMX,True,-3.8756,3.0148,85.39,884738
CUK,True,-1.9291,2.7607,44.47,198608
CRS,False,-5.0538,5.1879,48.24,149091
CSV,False,-1.88,16.841,21.85,32656
CSL,True,-2.9471,5.7279,143.21,203236
CRI,True,-5.6439,7.7618,89.15,344104
CARS,False,-34.4789,2.84,9.51,350439
CSLT,False,-46.5116,5.9041,1.5,124585
CVNA,True,-5.9029,25.1425,80.43,864529
CCL,True,-1.7438,2.439,45.94,2467130
CTLT,True,-3.1649,3.3477,56.66,293666
CAT,True,-4.4823,2.1227,119.01,2715564
CATO,False,-4.5233,2.5984,13.52,91864
CBL,False,-9.8039,8.163,0.8893,1032504
CBZ,False,-1.9926,2.3035,23.38,82008
CBRE,True,-5.0832,2.8108,52.87,622205
CBS,True,-3.7584,3.3347,48.7,1376147
CBS.A,False,-3.1604,3.95,50.89,1630
FUN,False,-2.6632,3.6217,52.02,111181
IGR,False,-2.2457,1.0811,7.6,130594
CDR,False,-6.1151,7.3359,2.47,180858
CX,False,-5.1988,1.5974,3.02,4697836
CVE,False,-4.3035,4.162,8.72,1715026
CNC,True,-4.8067,3.56,49.73,2943179
CE,True,-3.6688,4.3812,111.0,598220
CEL,False,-8.209,7.3171,2.5,2381
CPAC,False,-5.7447,4.1667,8.7,64
CNP,True,-2.772,1.0858,28.0,2081108
CLS,False,-2.6549,4.5317,6.69,112755
EBR.B,False,-4.147,5.4264,10.24,2058
EBR,False,-4.3269,5.2885,10.9,114687
CCS,False,-4.6324,5.2408,27.67,151430
CEN,False,-2.9225,1.8996,7.11,212837
CHAP,False,-14.1079,2.6012,1.99,171450
CEPU,False,-55.9152,7.049,3.74,121182
CTL,False,-7.5993,3.8961,11.48,6221057
CHRA,False,-6.6922,6.7623,5.3,5286
CF,True,-4.2124,5.6295,48.77,1298602
GIB,False,-3.0742,1.1462,77.06,83988
CDAY,True,-3.665,3.7321,53.48,392172
CLDT,False,-5.2017,1.6432,17.07,133096
CRL,True,-4.9654,4.1499,130.82,174358
CHE,False,-1.6247,3.2803,428.44,47430
CC,False,-19.1079,5.478,12.6,1776964
